feature_name,importance
final3f_1,14.30943769818633
p4_1,12.14844545763641
shiba_good_final3f_ave,9.508120899420025
durt_good_final3f_ave,7.2370595707740115
time_1,5.488154925121723
hw_1,4.965663796014436
p4_2,4.425348841703279
pci_1,3.95829023062786
final3f_3,3.1822996731858626
distance_1,3.171894529042267
pci_3,2.991404610669296
p3_1,2.7609665083564243
time_2,2.2228925059852602
final3f_5,2.114280341076354
p3_2,1.9985221117870466
jw_1,1.6074394676444652
surface_1,1.5568643059188885
p4_3,1.4670039417396532
pci_2,1.1970284074644875
surface_2,1.191491170624886
distance_2,1.0927361461897034
p2_1,0.7686500655966146
time_3,0.7153697699525023
p1_3,0.668382965824011
jw_5,0.6239217829166448
hw_2,0.568473300448112
p2_2,0.5665003310452941
p2_3,0.5051098810181919
p4_5,0.49911395431821287
shiba_heavy_final3f_ave,0.4330779808864728
hw_5,0.4293376538918464
distance_3,0.4274479931417989
final3f_2,0.39403540878174426
place_5,0.3836003237584716
jw_2,0.3464945474884188
p2_5,0.2481940531259484
condition_4,0.22271512350724182
pci_5,0.2222441654448929
p1_1,0.21080016786344555
p1_5,0.20141928463822337
jw_4,0.19155520165734305
time_4,0.1881544431074361
place_3,0.18711735234023963
p1_2,0.17988703353719238
wc_1,0.1738185125495832
wc_4,0.17149899121092574
distance_5,0.17090835153498493
p4_4,0.1618660158815064
hw_4,0.14299040496134433
time_5,0.1365481782504548
surface_3,0.1324680910743631
num_past_races,0.12596421552365394
wc_5,0.11930873878239664
pci_4,0.1125199698805455
place_4,0.10918969875306946
final3f_4,0.10002346150304879
wc_2,0.08007629691128271
p2_4,0.0767861221034974
place_2,0.05974999249437538
durt_heavy_final3f_ave,0.0523814047022795
p3_4,0.04911374659459869
p1_4,0.042731739936987256
hw_3,0.042095564297715916
distance_4,0.03901358690653609
place_1,0.03871448485366339
surface_4,0.025577498036836073
p3_3,0.025546529942476054
p3_5,0.018764348010591597
wc_3,0.011457527460559338
condition_1,0.003938604383744452
condition_2,0.0
condition_3,0.0
jw_3,0.0
surface_5,0.0
condition_5,0.0
